source;target;method;length_m;Country;geometry;diameter_mm;index;param;name;capacity_Mm^3/d;mm_len;id;country_code;uncertainty;tags
(1103376.8628032415, 6866964.113459353);(1072772.6857553732, 6867026.283422147);{'diameter_mm': 'raw', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'log_raw', 'max_pressure_bar': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};18729.517;True;LINESTRING (1072772.6857553732 6867026.283422147, 1103376.8628032415 6866964.113459353);400.0;4700;{'diameter_mm': 400.0, 'end_year': None, 'is_H_gas': 1, 'is_bothDirection': 0, 'lat_mean': 52.370384, 'length_km': 18.729517, 'long_mean': 9.756516, 'max_cap_M_m3_per_d': 2.549933272444444, 'max_pressure_bar': 25.0, 'nuts_id_1': ['DE9', 'DE9'], 'nuts_id_2': ['DE92', 'DE92'], 'nuts_id_3': ['DE929', 'DE929'], 'path_lat': [52.374546], 'path_long': [9.720864], 'start_year': None};LKD_PS_450_Seg_0_Seg_6;2.549933272444444;30604.240194481878;LKD_PS_450_Seg_0_Seg_6;['DE', 'DE'];{'diameter_mm': 0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.00017049999999940724, 'length_km': 0.3333333333333333, 'long_mean': 0.13746100000000006, 'max_cap_M_m3_per_d': 0, 'max_pressure_bar': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(1103376.8628032415, 6866964.113459353);(1080729.357679313, 6838397.221404291);{'diameter_mm': 'Median(diameter_mm)', 'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};22280.514;True;LINESTRING (1080729.357679313 6838397.221404291, 1103376.8628032415 6866964.113459353);900.0;5055;{'diameter_mm': 900.0, 'end_year': None, 'is_H_gas': 1, 'is_bothDirection': 0, 'lat_mean': 52.289648, 'length_km': 22.280514, 'long_mean': 9.81008, 'max_cap_M_m3_per_d': 27.809143341935314, 'max_pressure_bar': 70.0, 'nuts_id_1': ['DE9', 'DE9'], 'nuts_id_2': ['DE92', 'DE92'], 'nuts_id_3': ['DE929', 'DE929'], 'path_lat': [], 'path_long': [], 'start_year': None};LKD_PS_1207_Seg_0_Seg_0;27.809143341935314;36455.13420663764;LKD_PS_1207_Seg_0_Seg_0;['DE', 'DE'];{'diameter_mm': 249.87054361567627, 'end_year': None, 'is_H_gas': 0.5, 'is_bothDirection': 0.5, 'lat_mean': 0.07848350000000082, 'length_km': 0.5, 'long_mean': 0.10172300000000066, 'max_cap_M_m3_per_d': 24.306462524672494, 'max_pressure_bar': 11.06611831401779, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(1103376.8628032415, 6866964.113459353);(1108871.0362713432, 6825946.736438768);{'diameter_mm': 'Median(diameter_mm)', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};25312.287;True;LINESTRING (1103376.8628032415 6866964.113459353, 1108871.0362713432 6825946.736438768);900.0;5056;{'diameter_mm': 900.0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0, 'lat_mean': 52.255356, 'length_km': 25.312287, 'long_mean': 9.93648, 'max_cap_M_m3_per_d': 27.809143341935314, 'max_pressure_bar': 70.0, 'nuts_id_1': ['DE9', 'DE9'], 'nuts_id_2': ['DE92', 'DE92'], 'nuts_id_3': ['DE929', 'DE925'], 'path_lat': [], 'path_long': [], 'start_year': None};LKD_PS_1208_Seg_0_Seg_0;27.809143341935314;41383.70645249694;LKD_PS_1208_Seg_0_Seg_0;['DE', 'DE'];{'diameter_mm': 249.87054361567627, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.1127765000000025, 'length_km': 0.5, 'long_mean': 0.02467749999999924, 'max_cap_M_m3_per_d': 24.306462524672494, 'max_pressure_bar': 11.06611831401779, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(1103376.8628032415, 6866964.113459353);(994514.415810757, 6903583.054537231);{'diameter_mm': 'Median(diameter_mm)', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};105956.70300000001;True;LINESTRING (994514.415810757 6903583.054537231, 1103376.8628032415 6866964.113459353);900.0;5060;{'diameter_mm': 900.0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0, 'lat_mean': 52.61267, 'length_km': 105.956703, 'long_mean': 9.448633, 'max_cap_M_m3_per_d': 27.809143341935314, 'max_pressure_bar': 70.0, 'nuts_id_1': ['DE9', 'DE9'], 'nuts_id_2': ['DE92', 'DE92'], 'nuts_id_3': ['DE927', 'DE929'], 'path_lat': [52.69905, 52.82892, 52.59872], 'path_long': [9.2097, 9.487179, 9.70061], 'start_year': None};LKD_PS_1211_Seg_0_Seg_0;27.809143341935314;114856.34162229171;LKD_PS_1211_Seg_0_Seg_0;['DE', 'DE'];{'diameter_mm': 249.87054361567627, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.10019899999999991, 'length_km': 0.2, 'long_mean': 0.4889640000000001, 'max_cap_M_m3_per_d': 24.306462524672494, 'max_pressure_bar': 11.06611831401779, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(1103376.8628032415, 6866964.113459353);(1139059.5463405896, 6949908.815823901);{'diameter_mm': 'Median(diameter_mm)', 'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};54804.746;True;LINESTRING (1103376.8628032415 6866964.113459353, 1139059.5463405896 6949908.815823901);900.0;5063;{'diameter_mm': 900.0, 'end_year': None, 'is_H_gas': 1, 'is_bothDirection': 0, 'lat_mean': 52.594475, 'length_km': 54.804746, 'long_mean': 10.0718, 'max_cap_M_m3_per_d': 27.809143341935314, 'max_pressure_bar': 70.0, 'nuts_id_1': ['DE9', 'DE9'], 'nuts_id_2': ['DE92', 'DE93'], 'nuts_id_3': ['DE929', 'DE931'], 'path_lat': [52.59455], 'path_long': [10.07125], 'start_year': None};LKD_PS_1214_Seg_0_Seg_0;27.809143341935314;90294.39381694753;LKD_PS_1214_Seg_0_Seg_0;['DE', 'DE'];{'diameter_mm': 249.87054361567627, 'end_year': None, 'is_H_gas': 0.5, 'is_bothDirection': 0.5, 'lat_mean': 0.2263054999999987, 'length_km': 0.3333333333333333, 'long_mean': 0.16027149999999946, 'max_cap_M_m3_per_d': 24.306462524672494, 'max_pressure_bar': 11.06611831401779, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(948599.9125966358, 6807688.590939424);(924331.0390893033, 6890367.539007156);{'diameter_mm': 'Median(diameter_mm)', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};56336.226;True;LINESTRING (948599.9125966358 6807688.590939424, 924331.0390893033 6890367.539007156);900.0;4335;{'diameter_mm': 900.0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0, 'lat_mean': 52.245455, 'length_km': 56.336226, 'long_mean': 8.46164, 'max_cap_M_m3_per_d': 27.809143341935314, 'max_pressure_bar': 70.0, 'nuts_id_1': ['DEA', 'DE9'], 'nuts_id_2': ['DEA4', 'DE94'], 'nuts_id_3': ['DEA41', 'DE94E'], 'path_lat': [52.108241, 52.335456], 'path_long': [8.593361, 8.428372], 'start_year': None};LKD_PS_65_Seg_0_Seg_1;27.809143341935314;86167.2018514101;LKD_PS_65_Seg_0_Seg_1;['DE', 'DE'];{'diameter_mm': 249.87054361567627, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.227252, 'length_km': 0.25, 'long_mean': 0.10900550000000031, 'max_cap_M_m3_per_d': 24.306462524672494, 'max_pressure_bar': 11.06611831401779, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(924331.0390893033, 6890367.539007156);(899829.2852072314, 6839715.897582878);{'diameter_mm': 'raw', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'log_M_Heuristics.PipeSegment_capacity()', 'max_pressure_bar': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};34336.087;True;LINESTRING (899829.2852072314 6839715.897582878, 924331.0390893033 6890367.539007156);600.0;4341;{'diameter_mm': 600.0, 'end_year': None, 'is_H_gas': 1, 'is_bothDirection': 0, 'lat_mean': 52.357385, 'length_km': 34.336087, 'long_mean': 8.19324, 'max_cap_M_m3_per_d': 22.265596050672638, 'max_pressure_bar': 90.0, 'nuts_id_1': ['DE9', 'DE9'], 'nuts_id_2': ['DE94', 'DE94'], 'nuts_id_3': ['DE94E', 'DE94E'], 'path_lat': [52.35742], 'path_long': [8.19301], 'start_year': None};LKD_PS_70_Seg_0_Seg_0;22.265596050672638;56266.550651974765;LKD_PS_70_Seg_0_Seg_0;['DE', 'DE'];{'diameter_mm': 0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.13894499999999965, 'length_km': 0.3333333333333333, 'long_mean': 0.11005149999999997, 'max_cap_M_m3_per_d': 0.894039561375945, 'max_pressure_bar': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(924331.0390893033, 6890367.539007156);(974725.4838909089, 6890761.766645793);{'diameter_mm': 'Median(diameter_mm)', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};30656.193;True;LINESTRING (924331.0390893033 6890367.539007156, 974725.4838909089 6890761.766645793);900.0;4349;{'diameter_mm': 900.0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0, 'lat_mean': 52.497464, 'length_km': 30.656193, 'long_mean': 8.529755, 'max_cap_M_m3_per_d': 27.809143341935314, 'max_pressure_bar': 70.0, 'nuts_id_1': ['DE9', 'DE9'], 'nuts_id_2': ['DE94', 'DE92'], 'nuts_id_3': ['DE94E', 'DE927'], 'path_lat': [52.49761], 'path_long': [8.52975], 'start_year': None};LKD_PS_76_Seg_0_Seg_0;27.809143341935314;50395.98676772916;LKD_PS_76_Seg_0_Seg_0;['DE', 'DE'];{'diameter_mm': 249.87054361567627, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.0010779999999996903, 'length_km': 0.3333333333333333, 'long_mean': 0.22635049999999965, 'max_cap_M_m3_per_d': 24.306462524672494, 'max_pressure_bar': 11.06611831401779, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(924331.0390893033, 6890367.539007156);(1195552.7407647958, 7046791.540744865);{'diameter_mm': 'raw', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'log_raw', 'max_pressure_bar': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};212652.36;True;LINESTRING (1195552.7407647958 7046791.540744865, 924331.0390893033 6890367.539007156);1400.0;4384;{'diameter_mm': 1400.0, 'end_year': None, 'is_H_gas': 1, 'is_bothDirection': 0, 'lat_mean': 53.155044, 'length_km': 212.65236, 'long_mean': 9.589684, 'max_cap_M_m3_per_d': 120.1986391, 'max_pressure_bar': 100.0, 'nuts_id_1': ['DE8', 'DE9'], 'nuts_id_2': ['DE80', 'DE94'], 'nuts_id_3': ['DE80O', 'DE94E'], 'path_lat': [53.389787, 53.34627, 53.342779, 53.38368, 53.355092, 53.352741, 53.291155, 53.289614, 53.193186, 53.169104, 53.101166, 52.921319, 52.83783, 52.66717], 'path_long': [10.514292, 10.406988, 10.163891, 10.085248, 9.977682, 9.843338, 9.827261, 9.744226, 9.504159, 9.383363, 9.067952, 8.802602, 8.613067, 8.45763], 'start_year': None};LKD_PS_119_Seg_0_Seg_12;120.1986391;313096.91755012324;LKD_PS_119_Seg_0_Seg_12;['DE', 'DE'];{'diameter_mm': 0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.42359599999999986, 'length_km': 0.0625, 'long_mean': 1.2182130000000002, 'max_cap_M_m3_per_d': 0, 'max_pressure_bar': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(924331.0390893033, 6890367.539007156);(815342.3557942592, 7033248.386714574);{'diameter_mm': 'raw', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'log_raw', 'max_pressure_bar': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};108354.11600000001;True;LINESTRING (815342.3557942592 7033248.386714574, 924331.0390893033 6890367.539007156);900.0;4403;{'diameter_mm': 900.0, 'end_year': None, 'is_H_gas': 1, 'is_bothDirection': 0, 'lat_mean': 52.890604, 'length_km': 108.354116, 'long_mean': 7.811708, 'max_cap_M_m3_per_d': 48.03456396399997, 'max_pressure_bar': 100.0, 'nuts_id_1': ['DE9', 'DE9'], 'nuts_id_2': ['DE94', 'DE94'], 'nuts_id_3': ['DE94C', 'DE94E'], 'path_lat': [53.12045, 52.96978, 52.81879, 52.66748], 'path_long': [7.52022, 7.71472, 7.90787, 8.099687], 'start_year': None};LKD_PS_134_Seg_0_Seg_0;48.03456396399997;179703.83893500367;LKD_PS_134_Seg_0_Seg_0;['DE', 'DE'];{'diameter_mm': 0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.38724849999999833, 'length_km': 0.16666666666666666, 'long_mean': 0.4895309999999999, 'max_cap_M_m3_per_d': 0, 'max_pressure_bar': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(924331.0390893033, 6890367.539007156);(944354.0758982894, 6836829.915803967);{'diameter_mm': 'raw', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'log_raw', 'max_pressure_bar': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};35715.82;True;LINESTRING (924331.0390893033 6890367.539007156, 944354.0758982894 6836829.915803967);1000.0;4404;{'diameter_mm': 1000.0, 'end_year': None, 'is_H_gas': 1, 'is_bothDirection': 0, 'lat_mean': 52.313949, 'length_km': 35.71582, 'long_mean': 8.434925, 'max_cap_M_m3_per_d': 61.37956396400001, 'max_pressure_bar': 100.0, 'nuts_id_1': ['DE9', 'DEA'], 'nuts_id_2': ['DE94', 'DEA4'], 'nuts_id_3': ['DE94E', 'DEA43'], 'path_lat': [52.36906, 52.274845, 52.226989], 'path_long': [8.433992, 8.478842, 8.475105], 'start_year': None};LKD_PS_135_Seg_0_Seg_0;61.37956396400001;57159.41830792774;LKD_PS_135_Seg_0_Seg_0;['DE', 'DE'];{'diameter_mm': 0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.14688800000000055, 'length_km': 0.2, 'long_mean': 0.08993499999999964, 'max_cap_M_m3_per_d': 0, 'max_pressure_bar': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(924331.0390893033, 6890367.539007156);(944245.7620337475, 6912357.149466114);{'diameter_mm': 'raw', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'log_raw', 'max_pressure_bar': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};18022.502;True;LINESTRING (924331.0390893033 6890367.539007156, 944245.7620337475 6912357.149466114);800.0;4413;{'diameter_mm': 800.0, 'end_year': None, 'is_H_gas': 1, 'is_bothDirection': 0, 'lat_mean': 52.556362, 'length_km': 18.022502, 'long_mean': 8.392856, 'max_cap_M_m3_per_d': 31.753168441724455, 'max_pressure_bar': 84.0, 'nuts_id_1': ['DE9', 'DE9'], 'nuts_id_2': ['DE94', 'DE92'], 'nuts_id_3': ['DE94E', 'DE922'], 'path_lat': [], 'path_long': [], 'start_year': None};LKD_PS_143_Seg_0_Seg_0;31.753168441724455;29667.139364803683;LKD_PS_143_Seg_0_Seg_0;['DE', 'DE'];{'diameter_mm': 0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.06004899999999935, 'length_km': 0.5, 'long_mean': 0.08944849999999958, 'max_cap_M_m3_per_d': 0, 'max_pressure_bar': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(924331.0390893033, 6890367.539007156);(936047.9720927493, 6910558.705946926);{'diameter_mm': 'raw', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'log_M_Heuristics.PipeSegment_capacity()', 'max_pressure_bar': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};14183.202;True;LINESTRING (936047.9720927493 6910558.705946926, 924331.0390893033 6890367.539007156);600.0;5049;{'diameter_mm': 600.0, 'end_year': None, 'is_H_gas': 1, 'is_bothDirection': 0, 'lat_mean': 52.551457, 'length_km': 14.183202, 'long_mean': 8.356034, 'max_cap_M_m3_per_d': 22.265596050672638, 'max_pressure_bar': 90.0, 'nuts_id_1': ['DE9', 'DE9'], 'nuts_id_2': ['DE92', 'DE94'], 'nuts_id_3': ['DE922', 'DE94E'], 'path_lat': [], 'path_long': [], 'start_year': None};LKD_PS_1200_Seg_0_Seg_0;22.265596050672638;23344.586982786765;LKD_PS_1200_Seg_0_Seg_0;['DE', 'DE'];{'diameter_mm': 0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.05514399999999852, 'length_km': 0.5, 'long_mean': 0.05262749999999983, 'max_cap_M_m3_per_d': 0.894039561375945, 'max_pressure_bar': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(924331.0390893033, 6890367.539007156);(918738.2365523585, 6873206.658951779);{'diameter_mm': 'Median(diameter_mm)', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};10991.476;True;LINESTRING (924331.0390893033 6890367.539007156, 918738.2365523585 6873206.658951779);900.0;5050;{'diameter_mm': 900.0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0, 'lat_mean': 52.449336, 'length_km': 10.991476, 'long_mean': 8.278286, 'max_cap_M_m3_per_d': 27.809143341935314, 'max_pressure_bar': 70.0, 'nuts_id_1': ['DE9', 'DE9'], 'nuts_id_2': ['DE94', 'DE94'], 'nuts_id_3': ['DE94E', 'DE94E'], 'path_lat': [], 'path_long': [], 'start_year': None};LKD_PS_1202_Seg_0_Seg_0;27.809143341935314;18049.24498399592;LKD_PS_1202_Seg_0_Seg_0;['DE', 'DE'];{'diameter_mm': 249.87054361567627, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.046977000000001816, 'length_km': 0.5, 'long_mean': 0.02512049999999988, 'max_cap_M_m3_per_d': 24.306462524672494, 'max_pressure_bar': 11.06611831401779, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(974725.4838909089, 6890761.766645793);(1034640.750781591, 6880606.879144874);{'diameter_mm': 'Median(diameter_mm)', 'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};37024.145;True;LINESTRING (974725.4838909089 6890761.766645793, 1034640.750781591 6880606.879144874);900.0;4336;{'diameter_mm': 900.0, 'end_year': None, 'is_H_gas': 1, 'is_bothDirection': 0, 'lat_mean': 52.467971, 'length_km': 37.024145, 'long_mean': 9.028834, 'max_cap_M_m3_per_d': 27.809143341935314, 'max_pressure_bar': 70.0, 'nuts_id_1': ['DE9', 'DE9'], 'nuts_id_2': ['DE92', 'DE92'], 'nuts_id_3': ['DE927', 'DE929'], 'path_lat': [52.462545], 'path_long': [9.036059], 'start_year': None};LKD_PS_66_Seg_0_Seg_0;27.809143341935314;60769.737096173;LKD_PS_66_Seg_0_Seg_0;['DE', 'DE'];{'diameter_mm': 249.87054361567627, 'end_year': None, 'is_H_gas': 0.5, 'is_bothDirection': 0.5, 'lat_mean': 0.0277850000000015, 'length_km': 0.3333333333333333, 'long_mean': 0.2691140000000001, 'max_cap_M_m3_per_d': 24.306462524672494, 'max_pressure_bar': 11.06611831401779, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
