,ID,geometry
384,384,POINT (687773.0023324377 6687122.946447121)
385,385,POINT (1438007.2596294903 6832125.648806946)
386,386,POINT (824638.8691093872 7030723.763454136)
387,387,POINT (1170491.0498440336 6850657.518794469)
388,388,POINT (850888.561635895 6343722.811228492)
389,389,POINT (1186164.9454672174 7113561.99495648)
390,390,POINT (1140546.106820643 6913657.009489837)
391,391,POINT (1261171.9070442342 6566095.719826671)
392,392,POINT (1494018.8859365245 6893163.206011088)
393,393,POINT (1024428.8572936702 6811264.859971692)
394,394,POINT (779041.2924855544 6615298.157179357)
395,395,POINT (936063.3341824787 6783381.429338719)
396,396,POINT (1521581.9258154114 6675631.03569141)
397,397,POINT (962273.8422482276 6330610.488699856)
398,398,POINT (1115260.1071259326 6303960.705681825)
399,399,POINT (1434073.3401443467 6238864.312261068)
400,400,POINT (793137.7909241974 6810789.405276363)
401,401,POINT (682552.0068947424 6728692.507370236)
402,402,POINT (1614813.8917861215 6693804.174768626)
403,403,POINT (1605598.5303797822 6835677.337486001)
404,404,POINT (1173890.1904954063 6223994.259273692)
405,405,POINT (1199587.4043891071 6890142.457591377)
406,406,POINT (970066.2066037565 6584438.3235186655)
407,407,POINT (1039238.5797098258 6976307.847161184)
408,408,POINT (833588.5108912033 6609191.627443375)
409,409,POINT (1074924.1575539345 6565717.610590331)
410,410,POINT (1430028.8804048456 6263760.305620913)
411,411,POINT (1104634.439090733 6411711.138972005)
412,412,POINT (1667353.6858142954 6647248.548510969)
413,413,POINT (1092580.0967106926 6209944.606232817)
414,414,POINT (1042852.1217004661 6876152.241206993)
415,415,POINT (1597815.0715835164 6713564.461847136)
416,416,POINT (844758.4199168911 6798911.929687083)
417,417,POINT (1641076.4973735616 6679344.91155918)
418,418,POINT (1067619.5952070616 6021525.093097464)
419,419,POINT (1556160.653962563 6882295.608580029)
420,420,POINT (1491781.2528520892 6609399.344483776)
421,421,POINT (1290226.4054607695 6919979.248638553)
422,422,POINT (1696467.2948804416 6661927.351424231)
423,423,POINT (1196684.5260276909 6660228.4232576825)
424,424,POINT (1036523.942607341 6542297.057866151)
425,425,POINT (1002458.731271219 6019682.014518061)
426,426,POINT (957336.4888730734 6693873.240128078)
427,427,POINT (1119923.0579562811 6175052.549186693)
428,428,POINT (952163.1381774375 6404135.902779186)
429,429,POINT (830186.2532940885 7111961.970883027)
430,430,POINT (721140.9083782306 6641253.311759113)
431,431,POINT (1490132.945151913 6577002.639530294)
432,432,POINT (1332054.592806851 6705687.019639516)
433,433,POINT (1395937.620307878 6387914.740158351)
434,434,POINT (1073359.673430326 6269525.144717481)
435,435,POINT (1517652.2364709182 6733527.912335939)
436,436,POINT (1382701.3988940853 6093362.64341872)
437,437,POINT (1009834.7607311814 6192275.1949117575)
438,438,POINT (1049174.7348190518 6512212.327745464)
439,439,POINT (1204015.916371845 6146303.785054705)
440,440,POINT (1373931.6494093912 6746566.323280343)
441,441,POINT (1252846.7676057685 6895504.801774712)
442,442,POINT (1337655.1877081515 7193097.274996375)
443,443,POINT (971119.0663476794 6064319.915033892)
444,444,POINT (915621.2908101468 6261930.204468201)
445,445,POINT (944245.7620337475 6912357.149466114)
446,446,POINT (1339150.4311084868 6585011.363185246)
447,447,POINT (825580.6320014984 7104615.977433049)
448,448,POINT (881939.0185223537 6509558.6949413065)
449,449,POINT (2105049.3445109874 6934751.161360735)
450,450,POINT (810892.0251913258 6613567.689445226)
451,451,POINT (1361299.892830606 6697427.950732993)
452,452,POINT (1217367.687417081 6173828.122078762)
453,453,POINT (828178.0496801778 6053770.81762294)
454,454,POINT (965541.8485394455 6345116.133681463)
455,455,POINT (944354.0758982894 6836829.915803967)
456,456,POINT (1242912.7275668676 6338075.926075893)
457,457,POINT (815566.4419292262 6699268.033410805)
458,458,POINT (1086921.949632652 7005958.12165234)
459,459,POINT (966764.1365483557 6062750.208311222)
460,460,POINT (1206351.6219276695 7131091.119779128)
461,461,POINT (896765.550181619 6292984.052253697)
462,462,POINT (1137751.987601732 6586044.837349793)
463,463,POINT (942976.2745607411 6365394.566091782)
464,464,POINT (926489.8579742573 6278224.593470962)
465,465,POINT (3151356.823205677 8499068.178897139)
466,466,POINT (751039.2085349788 6692128.938846055)
467,467,POINT (1525069.3428229832 6699280.534178894)
468,468,POINT (767992.4990658497 6653443.87179347)
469,469,POINT (787717.5335979821 6636910.667316162)
470,470,POINT (850625.6249986414 6791107.91838134)
471,471,POINT (962007.8999847223 6517924.083456196)
472,472,POINT (1493352.6387841268 6859847.457514937)
473,473,POINT (1108871.0362713432 6825946.736438768)
474,474,POINT (832335.8326613065 6713742.643927458)
475,475,POINT (922245.8023877636 6357917.149172286)
476,476,POINT (773802.1519708598 6468482.1432261355)
477,477,POINT (722240.856266759 6581572.31509809)
478,478,POINT (1361895.2294673687 6738672.8646180695)
479,479,POINT (1608838.4841593204 6649142.683834903)
480,480,POINT (1378723.7308490602 6630927.412884921)
481,481,POINT (910626.9418557066 6278246.660561214)
482,482,POINT (1239893.5203375726 6351265.150335973)
483,483,POINT (788197.6545617734 6574340.423003753)
484,484,POINT (1160609.552604787 6603750.28754264)
485,485,POINT (1033643.2168245926 7323838.710394305)
486,486,POINT (936047.9720927493 6910558.705946926)
487,487,POINT (757014.0595643262 6556546.7455865415)
488,488,POINT (1316940.7455418485 7090552.220034612)
489,489,POINT (1381221.0723055163 6872398.231224067)
490,490,POINT (666312.8308973104 6584864.841564106)
491,491,POINT (1350972.5610307325 6369504.875886611)
492,492,POINT (883431.478935419 6310484.212630384)
493,493,POINT (786678.7001098994 6610197.054994622)
494,494,POINT (1587093.1121887804 7144758.623793421)
495,495,POINT (1090403.24406823 6295160.721362044)
496,496,POINT (963348.4092928548 6546144.10458894)
497,497,POINT (833759.6089485524 6718616.611888736)
498,498,POINT (956428.0105087096 6118702.165027337)
499,499,POINT (1555255.7378219042 6712401.007186838)
500,500,POINT (1215634.5542649205 6183519.522473497)
501,501,POINT (1434380.5819389364 7154219.495615357)
502,502,POINT (1064164.46085182 6101318.0183527805)
503,503,POINT (738884.1220157704 6715268.442812448)
504,504,POINT (1431681.0842871994 6138770.443000753)
505,505,POINT (1131935.5442077834 6208518.677810648)
506,506,POINT (924731.0100197236 6286747.286799417)
507,507,POINT (1263946.322713275 7113154.907623543)
508,508,POINT (748901.874311748 6708609.841522532)
509,509,POINT (1349034.1547375494 6063332.835249396)
510,510,POINT (1391577.569811978 6649055.714030546)
511,511,POINT (855369.393779306 6707742.9495436)
512,512,POINT (1152501.8201318406 6739365.564926328)
513,513,POINT (801607.6457006944 6827304.744619609)
514,514,POINT (811044.0876157493 6887135.63781772)
515,515,POINT (921903.4949535743 6282924.996815746)
516,516,POINT (801533.7295588077 6668997.565031697)
517,517,POINT (1113272.274978837 6154378.747110238)
518,518,POINT (976379.2462461339 6415394.444804665)
519,519,POINT (1494920.4624924595 6914037.344075705)
520,520,POINT (1341341.1986872985 6090927.915267999)
521,521,POINT (755469.7242685511 6666435.896156157)
522,522,POINT (1197150.9546941146 6031010.226030181)
523,523,POINT (1372351.1352791083 6394050.331010253)
524,524,POINT (779267.0484128832 6744767.959979753)
525,525,POINT (1578045.0639771034 7151621.849673391)
526,526,POINT (1224692.5099112785 6376086.701106101)
527,527,POINT (710902.966129464 6885968.896764138)
528,528,POINT (1372235.3630086833 6732728.117910775)
529,529,POINT (1471016.2716369657 6921003.185144264)
530,530,POINT (1009694.943450745 6268320.251957903)
531,531,POINT (857928.18359468 6030616.109826304)
532,532,POINT (1522008.168145659 6919466.136571011)
533,533,POINT (1122082.3221191983 6869953.919930933)
534,534,POINT (1096707.378151344 7053969.752128751)
535,535,POINT (775601.631539533 6688760.59282214)
536,536,POINT (1516332.989185527 6648344.371202152)
537,537,POINT (1316668.569386859 6695522.237631437)
538,538,POINT (1361122.3382427907 6048509.6134312805)
539,539,POINT (753931.1775862973 6631132.847118236)
540,540,POINT (821142.7691815336 6403014.586840528)
541,541,POINT (1381856.5952784552 6693108.021447699)
542,542,POINT (614460.6573637667 8239589.958372019)
543,543,POINT (1414940.5253032346 6270665.423715497)
544,544,POINT (984455.0300252228 6824136.837054974)
545,545,POINT (1087307.7829877415 6406054.963360299)
546,546,POINT (846058.7428888474 6013412.885790367)
547,547,POINT (1407244.4523072415 6136838.810391489)
